country,year,enscore,enero91v,ccii,gwe,gwghg
china,2013,29.52195106,240.6300045,-0.715275925,-0.01749015,1.2903819
china,2014,34.5458139,492.0924775,-0.645018895,-0.646638787,-0.34758219
china,2015,41.70674406,1099.1425,-0.282806004,-0.654753259,0.810322913
china,2016,46.5740906,869.1314157,-0.345451324,-0.563476561,0.421557656
china,2017,47.24189645,833.2366467,0.068064065,-0.285664161,0.531578183
china,2018,48.59883322,734.4281627,-0.385882882,-0.078093827,0.414436252
china,2019,52.78492057,971.8064829,0.178305918,-0.185380546,0.40131361
china,2020,55.92906236,1446.981123,-0.285164998,-0.361994931,0.677319094
china,2021,60.53937471,24758.16652,0.494071477,-0.156997581,0.592778459
china,2022,64.92646145,824.0291694,0.173334486,-0.483862051,0.472281434
colombia,2011,41.71555622,1141.906633,0.23012571,0.397099455,1.2677855
colombia,2012,38.81333278,1090.250003,-0.46330938,0.310783216,-0.144263885
colombia,2013,43.08333212,854.212014,-0.496300295,-0.599403196,-0.078280664
colombia,2014,54.984444,919.1142699,-0.06919273,-1.049117052,0.002710422
colombia,2015,57.42555578,305.9083534,0.011207685,0.274751445,-0.0107962
colombia,2016,65.619231,656.5933369,0.095249452,-0.579646521,0.163493762
colombia,2017,67.88399967,461.7936528,0.529744089,-0.000761568,0.419902454
colombia,2018,67.01000021,623.2144335,0.362974403,0.399140867,0.436472073
colombia,2019,70.72928464,1203.575857,0.556639332,0.105912473,0.168026115
colombia,2020,70.28428629,1491.386673,0.07458385,0.354941567,0.15895313
colombia,2021,64.44916667,1646.353635,0.18735185,0.58813961,0.401388264
colombia,2022,67.53818109,1927.534564,-0.540753247,-0.668558412,0.009898184
czechia,2011,42.009998,,0.42669246,0.59290063,
czechia,2012,39.360001,,,0.20012851,
czechia,2013,36.009998,,,0.7620362,
czechia,2014,31.99,,,0.49762157,
czechia,2015,64.489998,,,-3.6253872,
czechia,2016,55.664999,2022.53995,,0.19679423,
czechia,2017,62.59,1598.46,-0.98435992,-0.91808553,-1.122573
czechia,2018,64.369999,1766.85995,0.000432269,0.066562068,0.401431738
czechia,2019,68.214998,1502.4,-0.56593171,-0.670750135,-0.83491719
czechia,2020,66.6350005,1928.88005,-0.290529424,0.146842235,0.096794725
czechia,2021,70.4699995,2092.90505,0.45047865,0.12569873,0.513059295
czechia,2022,75.1049995,1805.265,0.268162056,-0.488077335,0.312781284
denmark,2011,51.39391268,190.5238903,-0.315438861,-0.440033369,-0.152119743
denmark,2012,53.60739126,241.6250006,0.325756708,0.265417307,0.312426616
denmark,2013,54.39956526,282.9577776,0.082064858,0.17081807,0.026569914
denmark,2014,54.48916646,231.0009094,-0.084281147,0.212356483,-1.157276158
denmark,2015,57.01960024,273.9081856,0.127471086,0.28498247,0.291278992
denmark,2016,54.21074063,363.0618171,-0.101133898,0.220799445,0.466426638
denmark,2017,52.374333,97.99249999,-0.545210956,-0.142140717,-0.213356136
denmark,2018,51.24031209,355.7199979,0.051553183,0.157748219,0.12674939
denmark,2019,55.47852982,5215.908759,0.326503537,0.125365847,0.818597673
denmark,2020,57.08914266,604.9720047,0.182572027,0.260354758,0.102724262
denmark,2021,61.01685726,5046.139638,0.603504251,0.263826905,0.459609362
denmark,2022,63.39266703,2638.3,0.588810269,0.280876631,-0.37917987
ecuador,2017,,,,,
ecuador,2018,,,,,
ecuador,2019,,,,,
ecuador,2020,,,,,
ecuador,2021,,,0.016082948,,
ecuador,2022,,,-0.537072,,
egypt,2011,9.633333333,,,0.89244617,
egypt,2012,8.090000067,,,0.356521727,
egypt,2013,8.666666667,,,-0.043268504,
egypt,2014,26.99333333,,,-1.602776309,
egypt,2015,31.929999,,-1.5338105,-0.752426747,
egypt,2016,33.093333,,-1.4928727,-0.424622743,
egypt,2017,46.65333333,,,-1.192463263,
egypt,2018,48.20666767,43.130001,-1.0612214,-0.225304,
egypt,2019,49.06999967,31.98,-0.59495306,0.077895883,-0.71467203
egypt,2020,43.60249975,30.335,-1.547254,-0.50142244,-1.5983778
egypt,2021,39.864,485.2925,0.188443975,0.199768603,0.093332024
egypt,2022,35.7219994,781.494967,0.073132023,1.130582465,0.605322858
estonia,2018,,,,,
estonia,2019,,,,,
estonia,2020,,,,,
estonia,2021,,,-0.22535221,,
estonia,2022,,,-0.74175894,,
finland,2011,64.20625042,404.2716696,0.280760596,0.089197378,0.470490115
finland,2012,63.11916705,628.4673774,0.590631466,0.833245649,0.781420563
finland,2013,63.88720052,559.7850044,0.349533866,0.135897598,0.034481819
finland,2014,62.58791679,847.7673445,0.413360583,0.532459994,0.548150065
finland,2015,67.68217391,1099.763859,0.427464538,0.078444286,0.621237706
finland,2016,68.968261,1098.684017,0.413012275,0.243308184,0.399768258
finland,2017,65.95740733,790.1726259,0.049182862,0.245378895,0.099295726
finland,2018,65.12499941,907.6143976,0.383328467,0.20442038,0.583744657
finland,2019,66.0303027,1354.959999,0.706932832,0.880654535,0.884239863
finland,2020,67.01361156,1089.389084,0.317242464,0.356471886,0.258558971
finland,2021,68.40111133,1730.603338,0.86185837,0.831589953,1.043930247
finland,2022,70.35441109,1222.445451,0.454076878,0.392743283,0.215962053
france,2011,69.03695138,464.7687722,0.314356477,0.058789121,0.349219952
france,2012,68.83528753,458.6905755,0.684111887,0.567238734,0.593797077
france,2013,68.88827621,391.1608627,0.339348351,0.317632491,0.190245858
france,2014,69.60125028,412.4883728,0.385897885,0.311119228,0.266723663
france,2015,71.5872724,317.4417497,0.45102132,0.311540769,0.61272817
france,2016,73.78693161,391.8228245,0.246853758,0.235857068,0.396838534
france,2017,74.75406233,789.6805969,0.199303439,0.311147005,0.567665924
france,2018,71.60767209,843.1751235,0.60458835,0.62959485,0.630772436
france,2019,73.39652572,1036.348201,0.775773537,0.800535376,0.677428227
france,2020,73.24966416,1101.227281,0.485361468,0.625378206,0.418895244
france,2021,73.82181103,1455.652708,0.928465583,0.989938145,0.891759114
france,2022,75.11971678,1289.362251,0.646137385,0.471458119,0.558064396
germany,2011,60.12179118,493.8943865,0.202303124,0.059858277,0.609436742
germany,2012,61.13358198,512.963995,0.420711487,0.571906509,0.805169618
germany,2013,61.04728531,451.1819444,0.198160345,0.266657602,0.356522467
